736696.0,0.0,0.0
736696.010417,0.0,0.0
736696.020833,0.0,0.0
736696.03125,0.0,0.0
736696.041667,0.0,0.0
736696.052083,0.0,0.0
736696.0625,0.23,0.0
736696.072917,0.56,0.0
736696.083333,0.85,0.0
736696.09375,1.09,0.0
736696.104167,1.27,0.0
736696.114583,1.38,0.0
736696.125,1.47,0.0
736696.135417,1.49,0.0
736696.145833,1.49,0.0
736696.15625,1.49,0.0
736696.166667,1.41,0.0
736696.177083,1.36,0.0
736696.1875,1.33,0.02
736696.197917,1.29,0.42
736696.208333,1.25,0.01
736696.21875,1.18,0.0
736696.229167,1.1,0.0
736696.239583,1.02,0.0
736696.25,0.94,0.0
736696.260417,0.89,0.0
736696.270833,0.87,0.0
736696.28125,0.84,0.0
736696.291667,0.82,0.0
736696.302083,0.82,0.59
736696.3125,0.87,8.78
736696.322917,0.91,15.04
736696.333333,0.95,16.42
736696.34375,1.02,19.58
736696.354167,1.1,24.97
736696.364583,1.18,32.51
736696.375,1.26,38.51
736696.385417,1.35,53.09
736696.395833,1.46,70.29
736696.40625,1.57,89.52
736696.416667,1.68,106.2
736696.427083,1.79,101.7
736696.4375,1.92,105.19
736696.447917,2.05,112.22
736696.458333,2.18,116.43
736696.46875,2.27,123.68
736696.479167,2.33,122.92
736696.489583,2.41,123.87
736696.5,2.48,124.56
736696.510417,2.53,124.94
736696.520833,2.57,125.22
736696.53125,2.66,127.32
736696.541667,2.88,130.07
736696.552083,3.24,124.25
736696.5625,3.63,125.02
736696.572917,3.91,124.14
736696.583333,4.08,122.91
736696.59375,4.08,123.01
736696.604167,3.99,122.54
736696.614583,3.85,126.5
736696.625,3.65,129.33
736696.635417,3.41,126.67
736696.645833,3.13,127.3
736696.65625,2.83,127.08
736696.666667,2.51,125.92
736696.677083,2.17,124.09
736696.6875,1.82,121.4
736696.697917,1.66,120.14
736696.708333,1.5,105.85
736696.71875,1.35,77.52
736696.729167,1.21,60.1
736696.739583,1.08,42.41
736696.75,0.96,32.23
736696.760417,0.83,26.07
736696.770833,0.7,26.83
736696.78125,0.58,32.03
736696.791667,0.47,38.86
736696.802083,0.39,53.18
736696.8125,0.33,61.81
736696.822917,0.27,70.71
736696.833333,0.25,80.17
736696.84375,0.22,85.44
736696.854167,0.22,82.66
736696.864583,0.21,85.15
736696.875,0.21,84.64
736696.885417,0.27,73.07
736696.895833,0.32,58.79
736696.90625,0.39,43.19
736696.916667,0.46,37.17
736696.927083,0.57,37.31
736696.9375,0.67,48.26
736696.947917,0.79,49.08
736696.958333,0.89,33.08
736696.96875,1.02,29.35
736696.979167,1.13,26.97
736696.989583,1.25,22.24
736697.0,1.36,26.1
736697.010417,1.49,33.7
736697.020833,1.61,23.43
736697.03125,1.72,18.86
736697.041667,1.84,16.22
736697.052083,1.95,15.55
736697.0625,2.05,12.24
736697.072917,2.11,8.55
736697.083333,2.2,3.22
736697.09375,2.28,0.95
736697.104167,2.35,1.82
736697.114583,2.43,0.3
736697.125,2.48,0.0
736697.135417,2.54,0.0
736697.145833,2.61,0.0
736697.15625,2.65,0.0
736697.166667,2.69,0.0
736697.177083,2.72,0.0
736697.1875,2.75,0.0
736697.197917,2.71,0.0
736697.208333,2.65,0.02
736697.21875,2.58,3.57
736697.229167,2.59,8.38
736697.239583,2.65,8.68
736697.25,2.82,8.8
736697.260417,3.12,11.03
736697.270833,3.48,19.49
736697.28125,3.84,20.16
736697.291667,4.21,19.84
736697.302083,4.5,27.46
736697.3125,4.71,36.78
736697.322917,4.88,43.64
736697.333333,5.04,49.37
736697.34375,5.09,63.13
736697.354167,5.06,75.78
736697.364583,5.03,69.55
736697.375,4.96,55.16
736697.385417,4.86,63.2
736697.395833,4.74,83.2
736697.40625,4.61,70.95
736697.416667,4.48,63.61
736697.427083,4.32,47.21
736697.4375,4.18,44.93
736697.447917,4.02,43.47
736697.458333,3.85,33.27
736697.46875,3.7,27.01
736697.479167,3.52,21.59
736697.489583,3.34,22.88
736697.5,3.14,18.94
736697.510417,2.98,23.07
736697.520833,2.84,16.5
736697.53125,2.82,12.47
736697.541667,2.86,11.82
736697.552083,3.01,11.37
736697.5625,3.2,6.5
736697.572917,3.34,14.45
736697.583333,3.36,16.78
736697.59375,3.33,16.02
736697.604167,3.3,16.68
736697.614583,3.24,22.08
736697.625,3.19,23.78
736697.635417,3.14,32.57
736697.645833,3.12,42.05
736697.65625,3.1,48.24
736697.666667,3.09,50.95
736697.677083,3.13,48.2
736697.6875,3.22,48.25
736697.697917,3.34,50.62
736697.708333,3.45,55.75
736697.71875,3.53,50.12
736697.729167,3.6,42.22
736697.739583,3.67,35.96
736697.75,3.72,30.72
736697.760417,3.76,28.81
736697.770833,3.79,35.4
736697.78125,3.82,46.34
736697.791667,3.85,59.45
736697.802083,3.86,73.69
736697.8125,3.85,78.64
736697.822917,3.84,68.52
736697.833333,3.84,60.58
736697.84375,3.83,47.53
736697.854167,3.8,40.11
736697.864583,3.77,33.46
736697.875,3.75,38.41
736697.885417,3.73,30.96
736697.895833,3.7,25.56
736697.90625,3.67,27.03
736697.916667,3.65,28.21
736697.927083,3.61,34.31
736697.9375,3.55,26.39
736697.947917,3.46,23.04
736697.958333,3.38,17.18
736697.96875,3.21,19.23
736697.979167,2.96,17.13
736697.989583,2.62,20.3
736698.0,2.24,20.77
736698.010417,1.95,26.96
736698.020833,1.75,28.42
736698.03125,1.67,29.25
736698.041667,1.59,21.03
736698.052083,1.54,17.76
736698.0625,1.47,14.44
736698.072917,1.4,15.25
736698.083333,1.35,14.07
736698.09375,1.29,13.27
736698.104167,1.22,8.89
736698.114583,1.16,5.96
736698.125,1.1,5.09
736698.135417,1.05,6.14
736698.145833,1.03,7.42
736698.15625,0.99,6.3
736698.166667,0.96,5.34
736698.177083,0.96,5.73
736698.1875,0.95,7.72
736698.197917,0.96,7.76
736698.208333,0.95,6.08
736698.21875,0.94,6.03
736698.229167,0.94,5.95
736698.239583,0.92,2.83
736698.25,0.9,0.58
736698.260417,0.88,1.49
736698.270833,0.86,2.65
736698.28125,0.81,5.1
736698.291667,0.78,3.45
736698.302083,0.76,2.74
736698.3125,0.76,3.81
736698.322917,0.75,3.46
736698.333333,0.77,2.88
736698.34375,0.78,1.99
736698.354167,0.81,2.33
736698.364583,0.87,2.84
736698.375,0.91,2.97
736698.385417,0.96,2.5
736698.395833,1.02,2.24
736698.40625,1.08,2.17
736698.416667,1.13,1.59
736698.427083,1.01,0.21
736698.4375,0.78,0.0
736698.447917,0.57,0.0
736698.458333,0.41,0.0
736698.46875,0.23,0.0
736698.479167,0.1,0.0
736698.489583,0.01,0.0
736698.5,0.0,0.0
736698.510417,0.0,0.0
736698.520833,0.0,0.0
736698.53125,0.0,0.0
736698.541667,0.0,0.0
736698.552083,0.0,0.0
736698.5625,0.0,0.0
736698.572917,0.0,0.0
736698.583333,0.0,0.0
736698.59375,0.54,0.0
